"","iliad.txt","odyssey.txt"
"above;",5,0
"above;)",1,0
"above?",4,0
"abridgement",1,0
"abroad",1,4
"abroad,",2,0
"abroad:",1,0
"absence",8,6
"absence,",2,8
"absence.""--long,",1,0
"absent",7,0
"absent,",2,3
"absolute",2,0
"absorbing",1,0
"abstain",1,0
"abstain,",1,0
"abstemious",1,0
"absurd",3,1
"absurd,",1,0
"absurdities,",1,0
"abused",1,0
"abused;",1,0
"abuses,",1,0
"abydos",1,0
"abydos'",1,0
"abydos,",1,0
"abyss",1,0
"abyss,",1,0
"abysses",2,0
"acamas",4,0
"acamas,",4,0
"accent",2,0
"accent,",1,0
"accents",6,0
"accept",8,4
"accept,",1,0
"acceptable",4,1
"accepted",3,2
"accepted,",1,1
"accepting",3,1
"access",12,10
"accessed,",1,1
"accessible",2,1
"accidens._",1,0
"accidental",2,0
"accidents",2,0
"acclaim",4,0
"acclaim,",1,0
"acclaim.",1,0
"acclamations",3,0
"accommodated",1,0
"accompanied",5,2
"accompaniments",1,0
"accompany",2,0
"accompanying",1,0
"accomplish",1,0
"accomplished.",2,1
"accomplished;",1,0
"accord:",1,0
"accordance",2,2
"according",16,10
"accordingly",3,2
"accordingly,",1,0
"accords",1,0
"accosted",1,0
"accosts",2,0
"accosts;",1,0
"account",19,11
"account.",1,1
"accumulated",2,0
"accurate",2,0
"accursed",3,0
"accursed!",3,0
"accursed,",2,0
"accusation",1,0
"accuse",1,0
"accused",1,0
"accuses",1,0
"accustom'd",1,0
"accustomed",1,2
"achaia",1,0
"achaia;",1,0
"achaian",13,0
"achaians",2,0
"achaians,",1,0
"achelous",2,0
"achieved,",1,0
"achievement,",1,0
"achievements",1,0
"achilleid",1,0
"achilleis(32)",1,0
"achilleis.""--grote,",1,0
"achilles",217,6
"achilles!",7,0
"achilles'",76,3
"achilles)",2,0
"achilles,",57,6
"achilles,""",2,0
"achilles.",29,2
"achilles.]",8,0
"achilles:",7,0
"achilles;",4,0
"achilles?",2,0
